epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1707,1.47762,4.50132,1.80919,0.78704,0.52,0.69192,0.49417,1.00187,5.90022,1.54757,8.888e-05,8.888e-05,8.888e-05
2,116.581,1.09499,2.65207,1.42069,0.65434,0.93693,0.81653,0.63158,0.91019,3.50801,1.19242,0.00018513,0.00018513,0.00018513
3,169.032,0.89894,2.05147,1.2781,0.81945,0.94384,0.97015,0.77026,0.77152,2.8369,1.11083,0.000277421,0.000277421,0.000277421
4,220.855,0.82396,1.63757,1.15181,0.98754,0.95506,0.9905,0.77402,0.79688,1.94612,1.1002,0.000365752,0.000365752,0.000365752
5,272.369,0.85345,1.38401,1.15797,0.89801,0.83795,0.98248,0.76047,0.88161,1.5268,1.11646,0.000450124,0.000450124,0.000450124
6,323.53,0.85822,1.18758,1.15548,0.91297,0.98605,0.98341,0.78149,0.85221,1.25143,1.12852,0.000530536,0.000530536,0.000530536
7,374.632,0.966,1.17727,1.1759,0.69279,0.91041,0.96192,0.76501,0.86842,1.50515,1.17012,0.000606988,0.000606988,0.000606988
8,425.74,0.93523,1.09046,1.14324,0.87921,0.96016,0.9866,0.73849,0.89229,1.72592,1.1335,0.000679481,0.000679481,0.000679481
9,477.133,0.88037,0.98228,1.13866,0.95346,0.91604,0.95806,0.69684,1.10838,1.83272,1.31324,0.000748014,0.000748014,0.000748014
10,528.047,0.90165,0.91309,1.14305,0.84366,0.67332,0.85801,0.59133,1.24417,1.89433,1.42802,0.000812588,0.000812588,0.000812588
11,579.239,0.88988,0.99108,1.1331,0.88883,0.52782,0.71891,0.49672,1.24407,2.36279,1.42451,0.000873202,0.000873202,0.000873202
12,630.552,0.9073,0.88277,1.14774,0.76451,0.74427,0.88013,0.65439,1.08222,1.47236,1.27005,0.000869024,0.000869024,0.000869024
13,682.137,0.87569,0.81322,1.10409,0.92982,0.89431,0.93633,0.70669,0.89102,1.18717,1.19865,0.000847026,0.000847026,0.000847026
14,733.174,0.90892,0.89274,1.14337,0.90936,1,0.97725,0.75623,0.86643,0.82996,1.14801,0.000825029,0.000825029,0.000825029
15,784.367,0.90287,0.83649,1.15555,0.67845,0.84144,0.96456,0.70196,0.91533,1.58657,1.19944,0.000803031,0.000803031,0.000803031
16,835.168,0.86579,0.75836,1.09206,0.82544,0.74081,0.96486,0.72367,0.93488,1.65353,1.15021,0.000781033,0.000781033,0.000781033
17,885.98,0.83273,0.7157,1.07661,0.68194,0.94415,0.92856,0.69873,0.96756,1.04189,1.18444,0.000759035,0.000759035,0.000759035
18,937.122,0.85218,0.6994,1.11442,0.62001,0.60453,0.77622,0.51059,1.12546,1.57791,1.28635,0.000737037,0.000737037,0.000737037
19,988.705,0.85835,0.6886,1.08344,0.87811,0.76984,0.85107,0.6734,0.9242,1.19964,1.19418,0.00071504,0.00071504,0.00071504
20,1040.05,0.81032,0.66162,1.0704,0.84747,0.71583,0.8876,0.7045,0.92303,1.13032,1.17128,0.000693042,0.000693042,0.000693042
21,1091.39,0.83182,0.66284,1.08377,0.68215,0.75551,0.8594,0.66499,0.9644,1.36143,1.23837,0.000671044,0.000671044,0.000671044
22,1142.41,0.78195,0.65655,1.02872,0.74187,0.63705,0.70383,0.53592,1.07072,1.83533,1.29556,0.000649046,0.000649046,0.000649046
23,1193.43,0.81527,0.69643,1.08991,0.82255,0.78889,0.85581,0.68695,0.86112,1.16041,1.12485,0.000627048,0.000627048,0.000627048
24,1244.26,0.89088,0.72811,1.11154,0.73528,0.7142,0.76316,0.56975,1.0639,1.54755,1.22602,0.000605051,0.000605051,0.000605051
25,1295.23,0.76148,0.64008,1.04149,0.72764,0.73351,0.79957,0.58644,1.25211,1.3621,1.35474,0.000583053,0.000583053,0.000583053
26,1346.73,0.80561,0.60863,1.08392,0.87552,0.84009,0.93726,0.72181,0.96242,0.72805,1.20577,0.000561055,0.000561055,0.000561055
27,1397.69,0.84218,0.61793,1.09797,0.97702,0.93072,0.96768,0.75322,0.93035,0.5248,1.15049,0.000539057,0.000539057,0.000539057
28,1448.97,0.77261,0.56188,1.03274,0.93683,0.92747,0.98092,0.74137,0.88106,0.60105,1.11183,0.000517059,0.000517059,0.000517059
29,1500.06,0.75974,0.55589,1.05123,0.93407,0.8651,0.91075,0.68936,0.98523,0.6879,1.20609,0.000495062,0.000495062,0.000495062
30,1551.12,0.72125,0.52917,1.01869,0.75394,0.75321,0.8059,0.59471,1.10009,1.42531,1.26092,0.000473064,0.000473064,0.000473064
31,1601.99,0.7374,0.53047,1.03104,0.76236,0.79171,0.87809,0.66592,0.98748,1.29128,1.19859,0.000451066,0.000451066,0.000451066
32,1654.07,0.75412,0.54321,1.04507,0.87243,0.91066,0.98353,0.78115,0.80584,0.69361,1.0838,0.000429068,0.000429068,0.000429068
33,1705.29,0.72891,0.52717,1.01418,0.97004,1,0.995,0.82238,0.74613,0.42193,1.03849,0.00040707,0.00040707,0.00040707
34,1756.13,0.71622,0.51433,1.00895,0.96884,0.96785,0.99313,0.7991,0.78231,0.45203,1.05661,0.000385073,0.000385073,0.000385073
35,1806.85,0.68964,0.50404,1.01966,0.9423,0.94518,0.99111,0.7865,0.81736,0.48379,1.07192,0.000363075,0.000363075,0.000363075
36,1857.52,0.62574,0.46053,0.98746,0.98428,0.99431,0.995,0.82834,0.7668,0.40104,1.03284,0.000341077,0.000341077,0.000341077
37,1908.45,0.7123,0.49806,1.00044,0.98543,1,0.995,0.84391,0.72825,0.3852,1.01798,0.000319079,0.000319079,0.000319079
38,1959.59,0.6928,0.47641,1.02166,0.98918,1,0.995,0.82248,0.75843,0.38564,1.03337,0.000297081,0.000297081,0.000297081
39,2010.99,0.69254,0.45179,1.01209,0.95917,0.98603,0.995,0.8173,0.77076,0.44125,1.03723,0.000275084,0.000275084,0.000275084
40,2061.82,0.64026,0.46199,0.98963,0.93854,0.98666,0.995,0.82919,0.71815,0.43112,1.00539,0.000253086,0.000253086,0.000253086
41,2112.25,0.54845,0.3703,0.93051,0.94045,0.99734,0.995,0.84433,0.72173,0.40995,0.99983,0.000231088,0.000231088,0.000231088
42,2163.24,0.51259,0.33368,0.89938,0.97373,1,0.995,0.8366,0.74885,0.39376,1.01,0.00020909,0.00020909,0.00020909
43,2213.69,0.54868,0.33308,0.90571,0.98656,1,0.995,0.83286,0.7457,0.38299,1.01252,0.000187092,0.000187092,0.000187092
44,2264.4,0.51157,0.32675,0.89782,0.98777,1,0.995,0.83689,0.72257,0.37709,1.01048,0.000165095,0.000165095,0.000165095
45,2314.3,0.49965,0.31521,0.89778,0.98519,1,0.995,0.83344,0.76374,0.38524,1.03959,0.000143097,0.000143097,0.000143097
46,2364.05,0.49924,0.32003,0.90238,0.98615,1,0.995,0.81313,0.84901,0.39175,1.09733,0.000121099,0.000121099,0.000121099
47,2414.48,0.50775,0.32492,0.91519,0.97407,1,0.99171,0.80565,0.86323,0.39343,1.11083,9.91012e-05,9.91012e-05,9.91012e-05
48,2465.09,0.52767,0.31235,0.91704,0.98905,1,0.995,0.8194,0.79032,0.37652,1.06566,7.71034e-05,7.71034e-05,7.71034e-05
49,2515.98,0.49398,0.3047,0.8916,0.98729,0.99928,0.995,0.84067,0.74422,0.36832,1.03759,5.51056e-05,5.51056e-05,5.51056e-05
50,2566.83,0.49794,0.29962,0.91803,0.98715,1,0.995,0.84215,0.72861,0.35781,1.02538,3.31078e-05,3.31078e-05,3.31078e-05
