epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.6423,1.47762,4.50132,1.80919,0.78704,0.52,0.69192,0.49417,1.00187,5.90022,1.54757,8.888e-05,8.888e-05,8.888e-05
2,120.673,1.09554,2.65479,1.42202,0.65103,0.92476,0.82431,0.62792,0.89869,3.49676,1.18404,0.000186199,0.000186199,0.000186199
3,176.685,0.88389,2.02697,1.26707,0.78566,0.8711,0.85194,0.65797,0.81954,2.72973,1.17142,0.000280689,0.000280689,0.000280689
4,233.143,0.84927,1.64203,1.17161,0.87557,0.77371,0.95665,0.74421,0.8621,2.13796,1.14069,0.000372352,0.000372352,0.000372352
5,288.834,0.86543,1.31915,1.15174,0.88687,0.69097,0.88546,0.63527,1.05375,2.11311,1.25382,0.000461186,0.000461186,0.000461186
6,344.517,0.90587,1.19708,1.14736,0.75771,0.94243,0.94679,0.71834,0.98122,2.27119,1.24594,0.000547191,0.000547191,0.000547191
7,398.983,0.99825,1.28508,1.20835,0.70999,0.8381,0.93579,0.71362,0.85941,3.00412,1.1677,0.000630369,0.000630369,0.000630369
8,453.614,0.90893,1.14362,1.14912,0.74805,0.97292,0.97253,0.75117,0.87332,2.88562,1.16613,0.000710718,0.000710718,0.000710718
9,507.922,0.95401,1.07987,1.17421,0.80282,0.77143,0.67595,0.4783,0.99618,2.99227,1.23289,0.000788239,0.000788239,0.000788239
10,561.714,0.95599,1.06469,1.19484,0.54777,0.78019,0.80181,0.61173,1.02535,1.75482,1.2968,0.000862931,0.000862931,0.000862931
11,615.681,0.89185,0.98435,1.12841,0.69067,0.83291,0.84733,0.65204,0.9735,1.35217,1.24524,0.000934795,0.000934795,0.000934795
12,667.69,0.89814,0.87889,1.15018,0.79572,0.79645,0.93709,0.67247,1.02759,1.94404,1.26628,0.00093816,0.00093816,0.00093816
13,719.478,0.90475,0.83515,1.12549,0.91206,0.84674,0.93959,0.71707,0.97377,1.42048,1.20818,0.000922447,0.000922447,0.000922447
14,771.26,0.92664,0.86451,1.1641,0.58539,0.84725,0.86694,0.63428,1.06595,1.84926,1.29833,0.000906735,0.000906735,0.000906735
15,823.052,0.9118,0.7852,1.16146,0.56921,0.7653,0.84854,0.64241,0.98336,2.05,1.2857,0.000891022,0.000891022,0.000891022
16,874.948,0.83466,0.76545,1.10571,0.70738,0.78518,0.86193,0.62195,1.1081,1.77005,1.32705,0.000875309,0.000875309,0.000875309
17,926.659,0.83028,0.72256,1.08118,0.79636,0.79039,0.8953,0.67864,0.96564,1.36428,1.233,0.000859597,0.000859597,0.000859597
18,978.299,0.88305,0.77171,1.11116,0.57567,0.58884,0.56962,0.41433,1.18597,2.39338,1.37942,0.000843884,0.000843884,0.000843884
19,1030.06,0.90602,0.73362,1.12902,0.83526,0.59291,0.69229,0.5109,1.0472,3.05698,1.25167,0.000828171,0.000828171,0.000828171
20,1081.77,0.80578,0.71717,1.07926,0.92695,0.86439,0.96728,0.74276,0.93981,0.89313,1.18915,0.000812458,0.000812458,0.000812458
21,1133.5,0.80252,0.67246,1.06324,0.82673,0.87715,0.94457,0.71032,1.03456,1.11305,1.26067,0.000796746,0.000796746,0.000796746
22,1185.34,0.78211,0.63557,1.03251,0.82228,0.8745,0.92695,0.68925,1.01338,1.10866,1.25663,0.000781033,0.000781033,0.000781033
23,1237.12,0.83075,0.7154,1.09545,0.79652,0.89132,0.9444,0.74858,0.87472,0.94449,1.1449,0.00076532,0.00076532,0.00076532
24,1289.06,0.85501,0.71585,1.10191,0.9376,0.89834,0.96265,0.78915,0.81505,0.75687,1.08291,0.000749608,0.000749608,0.000749608
