epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.18742,1.7758,4.02547,2.04845,0.4993,0.79271,0.72913,0.40873,1.43036,3.44214,1.67414,0.00025452,0.00025452,0.00025452
2,15.6131,1.27411,1.84186,1.44709,0.52512,0.86142,0.66636,0.4284,1.42815,3.02324,1.75921,0.000501032,0.000501032,0.000501032
3,23.1499,1.25786,1.41959,1.43495,0.72774,0.71522,0.73592,0.39212,1.45403,1.53005,1.73296,0.000730145,0.000730145,0.000730145
4,30.4835,1.2735,1.21911,1.40207,0.58404,0.83146,0.68629,0.40709,1.64232,2.07241,2.07403,0.000819009,0.000819009,0.000819009
5,37.8652,1.23305,1.06764,1.3424,0.83569,0.75878,0.8924,0.58517,1.31834,1.26474,1.68721,0.000789012,0.000789012,0.000789012
6,44.654,1.18935,0.98607,1.3259,0.85165,0.42667,0.6082,0.3575,1.63604,2.03173,1.83892,0.000759015,0.000759015,0.000759015
7,51.0009,1.23679,1.02741,1.35705,0.84161,0.74559,0.77491,0.50318,1.28718,1.30372,1.59991,0.000729018,0.000729018,0.000729018
8,57.4415,1.16357,0.8764,1.30548,0.83001,0.87192,0.95758,0.6978,1.11382,0.87812,1.43511,0.000699021,0.000699021,0.000699021
9,64.3869,1.16331,0.84178,1.28621,0.8628,0.81002,0.92033,0.56794,1.48715,0.90618,1.80217,0.000669024,0.000669024,0.000669024
10,70.9429,1.11774,0.79706,1.25704,0.9457,0.90418,0.95623,0.70066,1.11632,0.62057,1.43019,0.000639027,0.000639027,0.000639027
11,77.787,1.09875,0.7517,1.26103,0.95076,0.88722,0.96581,0.67362,1.2168,0.64576,1.48914,0.00060903,0.00060903,0.00060903
12,84.1865,1.10044,0.74943,1.27368,0.92578,0.81656,0.92435,0.63778,1.19866,0.76985,1.47537,0.000579033,0.000579033,0.000579033
13,90.7068,1.08229,0.69533,1.23911,0.9374,0.94859,0.99255,0.72381,1.1029,0.60853,1.40451,0.000549036,0.000549036,0.000549036
14,97.6801,1.09716,0.68601,1.23271,0.88463,0.88049,0.96351,0.6913,1.06833,0.7202,1.36863,0.000519039,0.000519039,0.000519039
15,104.321,1.04413,0.65674,1.23376,0.97652,0.97613,0.99458,0.72664,1.06786,0.51767,1.39391,0.000489042,0.000489042,0.000489042
16,110.737,1.06162,0.66771,1.2363,0.96711,0.95767,0.99413,0.71426,1.14943,0.54982,1.46275,0.000459045,0.000459045,0.000459045
17,117.658,1.0051,0.606,1.21074,0.98353,0.99985,0.995,0.73765,1.1015,0.47151,1.39071,0.000429048,0.000429048,0.000429048
18,124.583,1.02239,0.64331,1.23374,0.89816,0.92118,0.98779,0.74491,1.10228,0.56388,1.40143,0.000399051,0.000399051,0.000399051
19,131,1.02118,0.60985,1.23957,0.93357,0.94149,0.98414,0.72732,1.11268,0.62446,1.42013,0.000369054,0.000369054,0.000369054
20,137.285,0.99904,0.56434,1.23527,0.93839,0.91494,0.98518,0.73735,1.11748,0.61404,1.42796,0.000339057,0.000339057,0.000339057
21,158.435,0.90192,0.46512,1.20933,0.88337,0.97213,0.98891,0.74821,1.07859,0.55006,1.38038,0.00030906,0.00030906,0.00030906
22,164.89,0.91313,0.45571,1.23568,0.92308,0.91569,0.94253,0.71999,1.0428,0.6112,1.34422,0.000279063,0.000279063,0.000279063
23,171.173,0.86617,0.42086,1.19747,0.94703,0.99444,0.99376,0.76214,1.05738,0.46087,1.33832,0.000249066,0.000249066,0.000249066
24,177.518,0.86619,0.42197,1.18436,0.94563,0.96706,0.97539,0.73239,1.06655,0.44409,1.35621,0.000219069,0.000219069,0.000219069
25,183.803,0.85375,0.393,1.20077,0.96657,0.96244,0.98723,0.75428,0.9949,0.46191,1.30665,0.000189072,0.000189072,0.000189072
26,190.218,0.82746,0.38155,1.15193,0.95667,0.94484,0.99095,0.76589,1.00328,0.49974,1.30307,0.000159075,0.000159075,0.000159075
27,197.424,0.85916,0.39469,1.17915,0.97105,0.99333,0.99471,0.78174,0.98397,0.39499,1.28304,0.000129078,0.000129078,0.000129078
28,204.297,0.841,0.37636,1.1948,0.98837,0.99292,0.995,0.75401,1.05255,0.41173,1.32906,9.9081e-05,9.9081e-05,9.9081e-05
29,210.83,0.78616,0.42611,1.13587,0.99013,0.99253,0.995,0.79673,0.96796,0.3772,1.27705,6.9084e-05,6.9084e-05,6.9084e-05
30,217.851,0.83273,0.35365,1.18049,0.98807,0.99701,0.995,0.79569,0.97491,0.36411,1.28412,3.9087e-05,3.9087e-05,3.9087e-05
